sample	cluster_assigned	method
BS_9FHSNVS0	9	pam_canberra_13
BS_9G69F50J	5	pam_canberra_13
BS_9GJ23RHH	5	pam_canberra_13
BS_9GJ3DB1H	7	pam_canberra_13
BS_9H1684FJ	8	pam_canberra_13
BS_9H7A00PV	1	pam_canberra_13
BS_9HA238XS	5	pam_canberra_13
BS_9HSGV9TJ	3	pam_canberra_13
BS_9JBX2E8G	2	pam_canberra_13
BS_9K1H3RPM	8	pam_canberra_13
BS_9M5XJ10G	9	pam_canberra_13
BS_9M84M36J	13	pam_canberra_13
BS_9NZ2D6AD	9	pam_canberra_13
BS_9P9MB8X8	3	pam_canberra_13
BS_9PB3XH5D	9	pam_canberra_13
BS_9Q6Z6VJC	3	pam_canberra_13
BS_9RT63JD9	1	pam_canberra_13
BS_9S792SG4	4	pam_canberra_13
BS_9S7AG4EN	2	pam_canberra_13
BS_9SJWWYQ4	3	pam_canberra_13
BS_9TXEDSWB	1	pam_canberra_13
BS_9V633J1X	9	pam_canberra_13
BS_9XVACXP0	3	pam_canberra_13
BS_9XWJ88Q1	5	pam_canberra_13
BS_9Y1K14Q5	2	pam_canberra_13
BS_9YXH2CZ0	2	pam_canberra_13
BS_9ZJT0CP0	3	pam_canberra_13
BS_A0DYVX9J	12	pam_canberra_13
BS_A13BMEF5	3	pam_canberra_13
BS_A14Z8BBK	9	pam_canberra_13
BS_A1V3BH0Z	2	pam_canberra_13
BS_A1VEGWTR	3	pam_canberra_13
BS_A2YNJVVG	4	pam_canberra_13
BS_A3QZB9Y2	5	pam_canberra_13
BS_A46RDWGM	3	pam_canberra_13
BS_A4H0XQCR	7	pam_canberra_13
BS_A52V3XJM	9	pam_canberra_13
BS_A622G9R3	11	pam_canberra_13
BS_A6NXR7RC	12	pam_canberra_13
BS_A76PNWQS	5	pam_canberra_13
BS_A7MC2KR2	5	pam_canberra_13
BS_A7Q8G0Y1	12	pam_canberra_13
BS_A7W82CVE	11	pam_canberra_13
BS_A87NPZAP	9	pam_canberra_13
BS_A89VAPVV	5	pam_canberra_13
BS_A8V685RR	13	pam_canberra_13
BS_A8XW5S0W	7	pam_canberra_13
BS_A96FKXN5	2	pam_canberra_13
BS_AA164D3A	5	pam_canberra_13
BS_ABYF92Z9	5	pam_canberra_13
BS_AD4JPN9Q	1	pam_canberra_13
BS_ADEE1SN5	2	pam_canberra_13
BS_AG3D3435	10	pam_canberra_13
BS_AG4H9S3J	3	pam_canberra_13
BS_AGS1HHGF	10	pam_canberra_13
BS_AGTPCRR4	10	pam_canberra_13
BS_AGVWD5K8	11	pam_canberra_13
BS_AHEFXG7W	9	pam_canberra_13
BS_AJ0N99Q1	11	pam_canberra_13
BS_AJ6X83G5	1	pam_canberra_13
BS_AKCQJ6XW	4	pam_canberra_13
BS_AKM1XC5Q	8	pam_canberra_13
BS_AKNF1CJX	11	pam_canberra_13
BS_AKRHBPNZ	1	pam_canberra_13
BS_AKT8HK8J	4	pam_canberra_13
BS_AM0BZ61K	11	pam_canberra_13
BS_AM70R8RG	9	pam_canberra_13
BS_AMQGM1V9	1	pam_canberra_13
BS_AMZ70B6F	9	pam_canberra_13
BS_AP0SZ364	3	pam_canberra_13
BS_AP814Q8D	2	pam_canberra_13
BS_AQJKXQ69	7	pam_canberra_13
BS_ARBQDTT5	3	pam_canberra_13
BS_ARFQ1WG3	3	pam_canberra_13
BS_AS4K2YQW	13	pam_canberra_13
BS_ATHSTZ5R	2	pam_canberra_13
BS_AV9PD1CR	11	pam_canberra_13
BS_AVYNZHSB	3	pam_canberra_13
BS_AW7J9F9R	2	pam_canberra_13
BS_AWH4X3Q3	10	pam_canberra_13
