sample	cluster_assigned	method
BS_55P8HPYD	1	hc_pearson_3
BS_55X1W2MR	1	hc_pearson_3
BS_58N4Y4ZJ	1	hc_pearson_3
BS_593HEWBF	1	hc_pearson_3
BS_5965SFPZ	1	hc_pearson_3
BS_5AF6ZNJF	1	hc_pearson_3
BS_5FRQVRRE	1	hc_pearson_3
BS_5G5BD2MD	1	hc_pearson_3
BS_5J5D3QTD	1	hc_pearson_3
BS_5JM573JC	1	hc_pearson_3
BS_5K95FX4C	1	hc_pearson_3
BS_5NWDARXG	1	hc_pearson_3
BS_5PEFNDCY	1	hc_pearson_3
BS_5PJCHF6V	1	hc_pearson_3
BS_5PV5N4HQ	1	hc_pearson_3
BS_5SWXR2QQ	1	hc_pearson_3
BS_5TKDAEGA	1	hc_pearson_3
BS_5VPM0F36	1	hc_pearson_3
BS_5VQP0E6K	1	hc_pearson_3
BS_5YJEPPTP	1	hc_pearson_3
BS_5YYCP891	1	hc_pearson_3
BS_5ZD8FRPJ	1	hc_pearson_3
BS_60K3EQ9S	1	hc_pearson_3
BS_613KQVAE	1	hc_pearson_3
BS_61E80SD6	1	hc_pearson_3
BS_63JT39PX	1	hc_pearson_3
BS_64HCD9K3	1	hc_pearson_3
BS_65A41ZQJ	1	hc_pearson_3
BS_65WPD3DA	1	hc_pearson_3
BS_66ABA973	1	hc_pearson_3
BS_66HQ3E4Z	1	hc_pearson_3
BS_67PX06P3	1	hc_pearson_3
BS_680K119G	1	hc_pearson_3
BS_685DACMS	1	hc_pearson_3
BS_68BW2163	1	hc_pearson_3
BS_699TN5RN	1	hc_pearson_3
BS_6AB299R2	1	hc_pearson_3
BS_6AFD49QR	1	hc_pearson_3
BS_6AQ5RR83	1	hc_pearson_3
BS_6BGES4ZG	1	hc_pearson_3
BS_6EW6X0J0	1	hc_pearson_3
BS_6G6C7VPX	1	hc_pearson_3
BS_6H1C1ME9	1	hc_pearson_3
BS_6H4Q24WA	1	hc_pearson_3
BS_6HTK4YJP	1	hc_pearson_3
BS_6HXD39AM	1	hc_pearson_3
BS_6KBHF52X	1	hc_pearson_3
BS_6M2053M0	1	hc_pearson_3
BS_6MY8W3H0	1	hc_pearson_3
BS_6N3AFF66	1	hc_pearson_3
BS_6NBTFA33	1	hc_pearson_3
BS_6NRTJSYK	1	hc_pearson_3
BS_6NTXGQAC	1	hc_pearson_3
BS_6PWHC64Y	1	hc_pearson_3
BS_6R7SFVV2	1	hc_pearson_3
BS_6RX2743N	1	hc_pearson_3
BS_6TSAVMT9	1	hc_pearson_3
BS_6VRG1XFB	1	hc_pearson_3
BS_6VW8FC7Z	1	hc_pearson_3
BS_6W0VHGQE	1	hc_pearson_3
BS_6W8E9283	1	hc_pearson_3
BS_6WP1FHTE	1	hc_pearson_3
BS_6XHRA95C	1	hc_pearson_3
BS_6XZJNNYY	1	hc_pearson_3
BS_6YMJ621P	1	hc_pearson_3
BS_70FFPA51	1	hc_pearson_3
BS_730EYWFA	1	hc_pearson_3
BS_7327SDAQ	1	hc_pearson_3
BS_73AZT1Q3	1	hc_pearson_3
BS_742RHK1M	1	hc_pearson_3
BS_74G5K7JF	1	hc_pearson_3
BS_74GHJS7N	1	hc_pearson_3
BS_75YRDXET	1	hc_pearson_3
BS_76DRXZRJ	1	hc_pearson_3
BS_77317DY4	1	hc_pearson_3
BS_775HDFNY	1	hc_pearson_3
BS_77CDMEY4	1	hc_pearson_3
BS_78QX3XDF	1	hc_pearson_3
BS_78SCX2N9	1	hc_pearson_3
BS_7ARDVFCP	1	hc_pearson_3
BS_7B9FZM3M	1	hc_pearson_3
BS_7BTZQKYY	1	hc_pearson_3
BS_7BW0YRPY	1	hc_pearson_3
BS_7C40TRCY	1	hc_pearson_3
BS_7FKE2YPB	1	hc_pearson_3
BS_7FWZ518S	1	hc_pearson_3
BS_7G42J2SK	1	hc_pearson_3
BS_7H4RFCW9	1	hc_pearson_3
BS_7JTW85T5	1	hc_pearson_3
BS_7M3FNSYK	1	hc_pearson_3
BS_7MGXMG6S	1	hc_pearson_3
BS_7N0B2CY1	1	hc_pearson_3
BS_7P83Z28P	1	hc_pearson_3
BS_7PER3D69	1	hc_pearson_3
BS_7PVJ6Q3D	1	hc_pearson_3
BS_7T1J3KET	1	hc_pearson_3
BS_7WM3MNZ0	1	hc_pearson_3
BS_7XKVHKMR	1	hc_pearson_3
BS_7XQRH69M	1	hc_pearson_3
BS_7XRN3CFX	1	hc_pearson_3
BS_7Z93ZYMS	1	hc_pearson_3
BS_7ZFVVZ2G	1	hc_pearson_3
BS_81SP2HX4	1	hc_pearson_3
BS_84XCR9GG	1	hc_pearson_3
BS_850BAHH9	1	hc_pearson_3
BS_862NMAR7	1	hc_pearson_3
BS_880ESDFZ	1	hc_pearson_3
BS_891HPNKY	1	hc_pearson_3
BS_8BF616QR	1	hc_pearson_3
BS_8C885SQR	1	hc_pearson_3
BS_8D0NYM46	1	hc_pearson_3
BS_8E8JKP01	1	hc_pearson_3
BS_8ERBDF7D	1	hc_pearson_3
BS_8F9BDWY4	1	hc_pearson_3
BS_8FVF27TH	1	hc_pearson_3
BS_8J09S6MZ	1	hc_pearson_3
BS_8J3B6ZB6	1	hc_pearson_3
BS_8K9YVM5G	1	hc_pearson_3
BS_8MN11EC7	1	hc_pearson_3
BS_8PNA0V6R	1	hc_pearson_3
BS_8Q4JWFKK	1	hc_pearson_3
BS_8Q77HZ4R	1	hc_pearson_3
BS_8Q7W9NSR	1	hc_pearson_3
BS_8QJ43WKW	1	hc_pearson_3
BS_8RHPJ740	1	hc_pearson_3
BS_8S86CM61	1	hc_pearson_3
BS_8SQARNQW	1	hc_pearson_3
BS_8T7DZV2F	1	hc_pearson_3
BS_8TTMM7FE	1	hc_pearson_3
BS_8VAZSJEN	1	hc_pearson_3
BS_8VD670NP	1	hc_pearson_3
BS_8VYC685V	1	hc_pearson_3
BS_8WPNFT03	1	hc_pearson_3
BS_8YWYN7VH	1	hc_pearson_3
BS_8Z3SCKB5	1	hc_pearson_3
BS_8ZE4Z9G5	1	hc_pearson_3
BS_8ZP3CBQA	1	hc_pearson_3
BS_8ZTEXH90	1	hc_pearson_3
BS_8ZY4GST0	1	hc_pearson_3
BS_90B22NGP	1	hc_pearson_3
BS_9294WMET	1	hc_pearson_3
BS_92HCM7BN	1	hc_pearson_3
BS_94MT16N2	1	hc_pearson_3
BS_956G6QPJ	1	hc_pearson_3
BS_9755PSCS	1	hc_pearson_3
BS_975AWWJE	1	hc_pearson_3
BS_97GBG8T6	1	hc_pearson_3
BS_9A1YTHFF	1	hc_pearson_3
BS_9BJARSX3	1	hc_pearson_3
BS_9E7YVFJM	1	hc_pearson_3
BS_9F09XV62	1	hc_pearson_3
BS_9FHEFJNP	1	hc_pearson_3
BS_9FHSNVS0	1	hc_pearson_3
BS_9G69F50J	1	hc_pearson_3
BS_9GJ23RHH	1	hc_pearson_3
BS_9GJ3DB1H	1	hc_pearson_3
BS_9H1684FJ	1	hc_pearson_3
BS_9H7A00PV	1	hc_pearson_3
BS_9HSGV9TJ	1	hc_pearson_3
BS_9JBX2E8G	1	hc_pearson_3
BS_9JPQZQNG	1	hc_pearson_3
BS_9K1H3RPM	1	hc_pearson_3
BS_9M5XJ10G	1	hc_pearson_3
BS_9M84M36J	1	hc_pearson_3
BS_9NJHQE9F	1	hc_pearson_3
BS_9NZ2D6AD	1	hc_pearson_3
BS_9P9MB8X8	1	hc_pearson_3
BS_9PB3XH5D	1	hc_pearson_3
BS_9Q6Z6VJC	1	hc_pearson_3
BS_9RT63JD9	1	hc_pearson_3
BS_9S7AG4EN	1	hc_pearson_3
BS_9SJWWYQ4	1	hc_pearson_3
BS_9TXEDSWB	1	hc_pearson_3
BS_9V633J1X	1	hc_pearson_3
BS_9XVACXP0	1	hc_pearson_3
BS_9XWJ88Q1	1	hc_pearson_3
BS_9Y1K14Q5	1	hc_pearson_3
BS_9YXH2CZ0	1	hc_pearson_3
BS_9ZJT0CP0	1	hc_pearson_3
BS_A11G4PKZ	1	hc_pearson_3
BS_A13BMEF5	1	hc_pearson_3
BS_A14Z8BBK	1	hc_pearson_3
BS_A1V3BH0Z	1	hc_pearson_3
BS_A1VEGWTR	1	hc_pearson_3
BS_A2YNJVVG	1	hc_pearson_3
BS_A46RDWGM	1	hc_pearson_3
BS_A52V3XJM	1	hc_pearson_3
BS_A6NXR7RC	1	hc_pearson_3
BS_A7MC2KR2	1	hc_pearson_3
BS_A7Y1Y314	1	hc_pearson_3
BS_A87NPZAP	1	hc_pearson_3
BS_A89VAPVV	1	hc_pearson_3
BS_A8V685RR	1	hc_pearson_3
BS_A8XW5S0W	1	hc_pearson_3
BS_A96FKXN5	1	hc_pearson_3
BS_AA164D3A	1	hc_pearson_3
BS_ABYF92Z9	1	hc_pearson_3
BS_AD4JPN9Q	1	hc_pearson_3
BS_ADEE1SN5	1	hc_pearson_3
BS_AG3D3435	1	hc_pearson_3
BS_AG4H9S3J	1	hc_pearson_3
BS_AGS1HHGF	1	hc_pearson_3
BS_AGTPCRR4	1	hc_pearson_3
BS_AGVWD5K8	1	hc_pearson_3
BS_AHEFXG7W	1	hc_pearson_3
BS_AJ6X83G5	1	hc_pearson_3
BS_AKM1XC5Q	1	hc_pearson_3
BS_AKNF1CJX	1	hc_pearson_3
BS_AKPB1RZ3	1	hc_pearson_3
BS_AKRHBPNZ	1	hc_pearson_3
BS_AKT8HK8J	1	hc_pearson_3
BS_AM0BZ61K	1	hc_pearson_3
BS_AM70R8RG	1	hc_pearson_3
BS_AMQGM1V9	1	hc_pearson_3
BS_AMZ70B6F	1	hc_pearson_3
BS_AP0SZ364	1	hc_pearson_3
BS_AP6MTYBF	1	hc_pearson_3
BS_ARBQDTT5	1	hc_pearson_3
BS_ARFQ1WG3	1	hc_pearson_3
BS_AS4K2YQW	1	hc_pearson_3
BS_AVYNZHSB	1	hc_pearson_3
BS_AW7J9F9R	1	hc_pearson_3
BS_AWH4X3Q3	1	hc_pearson_3
BS_AWH9757B	1	hc_pearson_3
BS_AWJFW3W5	1	hc_pearson_3
BS_AYAMBZHS	1	hc_pearson_3
BS_AZN38B7V	1	hc_pearson_3
BS_AZQM1JJH	1	hc_pearson_3
BS_B0SVFK4P	1	hc_pearson_3
BS_B1C6GZ84	1	hc_pearson_3
BS_B1HF89ES	1	hc_pearson_3
BS_B1HVNV0T	1	hc_pearson_3
BS_B2QMR6Z9	1	hc_pearson_3
BS_B3516CQJ	1	hc_pearson_3
BS_B3M5SGPA	1	hc_pearson_3
BS_B3MQFFYP	1	hc_pearson_3
BS_B47VJXKV	1	hc_pearson_3
BS_B47WQMHK	1	hc_pearson_3
BS_B4R7X1KE	1	hc_pearson_3
BS_B53Z0T1Q	1	hc_pearson_3
BS_B57327NA	1	hc_pearson_3
BS_B5JM6T8K	1	hc_pearson_3
BS_B61168DE	1	hc_pearson_3
BS_B6JKQFKA	1	hc_pearson_3
BS_B6M763JS	1	hc_pearson_3
BS_B741RZY9	1	hc_pearson_3
BS_B7GEH89C	1	hc_pearson_3
BS_B7X8VXQ3	1	hc_pearson_3
BS_BA6AZWB3	1	hc_pearson_3
BS_BAG042V5	1	hc_pearson_3
BS_BBAEMXRD	1	hc_pearson_3
BS_BBQ6BHGN	1	hc_pearson_3
BS_BC936YNZ	1	hc_pearson_3
BS_BE1WV2B2	1	hc_pearson_3
BS_BE6EZQHP	1	hc_pearson_3
BS_BEKKNDWB	1	hc_pearson_3
BS_BGFDW0VM	1	hc_pearson_3
BS_BHR08WGW	1	hc_pearson_3
BS_BJBM0BN7	1	hc_pearson_3
BS_BJDNWMJH	1	hc_pearson_3
BS_BKQZ550R	1	hc_pearson_3
BS_BKR4E30C	1	hc_pearson_3
BS_BMMY0H73	1	hc_pearson_3
BS_BN986DF6	1	hc_pearson_3
BS_BNECCX4D	1	hc_pearson_3
BS_BPM1MRGT	1	hc_pearson_3
BS_BPSTSCBJ	1	hc_pearson_3
BS_BPWEFR89	1	hc_pearson_3
BS_BSMKSA87	1	hc_pearson_3
BS_BSV07M7Z	1	hc_pearson_3
BS_BVSW4GTG	1	hc_pearson_3
BS_BW1Z7QQY	1	hc_pearson_3
BS_BW79W2PD	1	hc_pearson_3
BS_BXXJ9P8C	1	hc_pearson_3
BS_BYA64S6C	1	hc_pearson_3
BS_BYBG9F2X	1	hc_pearson_3
BS_C05FKR8X	1	hc_pearson_3
BS_C0GQVFWA	1	hc_pearson_3
BS_C0NEVC2B	1	hc_pearson_3
BS_C2P690E3	1	hc_pearson_3
BS_C3NW374Q	1	hc_pearson_3
BS_C3P5BC92	1	hc_pearson_3
BS_C41DJZ1F	1	hc_pearson_3
BS_C51RB0YR	1	hc_pearson_3
BS_C7A2TYAC	1	hc_pearson_3
BS_C80S5N37	1	hc_pearson_3
BS_C83TK159	1	hc_pearson_3
BS_C8KEG501	1	hc_pearson_3
BS_C8ME4RZA	1	hc_pearson_3
BS_C8RVHTVV	1	hc_pearson_3
BS_C8RWMN8X	1	hc_pearson_3
BS_C9GNTZ1T	1	hc_pearson_3
BS_CB6VK7PB	1	hc_pearson_3
BS_CBDQZ8PP	1	hc_pearson_3
BS_CC6RREE4	1	hc_pearson_3
BS_CCBW38BM	1	hc_pearson_3
BS_CFD3WHAY	1	hc_pearson_3
BS_CFK707H0	1	hc_pearson_3
BS_CG1RG607	1	hc_pearson_3
BS_CG6R2RED	1	hc_pearson_3
BS_CGB2WS2A	1	hc_pearson_3
BS_CH8Q6FCN	1	hc_pearson_3
BS_CHDGRYHJ	1	hc_pearson_3
BS_CKKY5S4M	1	hc_pearson_3
BS_CKM16AHA	1	hc_pearson_3
BS_CKX8RW1J	1	hc_pearson_3
BS_CM14SRVX	1	hc_pearson_3
BS_CMDJJQ7K	1	hc_pearson_3
BS_CN0GW92K	1	hc_pearson_3
BS_CN797XGY	1	hc_pearson_3
BS_CPWBFHAC	1	hc_pearson_3
BS_CQEETJ66	1	hc_pearson_3
BS_CQSAJ7BF	1	hc_pearson_3
BS_CREQ97QC	1	hc_pearson_3
BS_CTR5X93B	1	hc_pearson_3
BS_CV9QNWN7	1	hc_pearson_3
BS_CVEDJGHZ	1	hc_pearson_3
BS_CVGFNCBJ	1	hc_pearson_3
BS_CX7NH77G	1	hc_pearson_3
BS_CXAQDK7S	1	hc_pearson_3
BS_CXVJK2FY	1	hc_pearson_3
BS_CYEY58NY	1	hc_pearson_3
BS_CZ3ER8DY	1	hc_pearson_3
BS_CZ3NA7KV	1	hc_pearson_3
BS_CZ82ANWP	1	hc_pearson_3
BS_CZPQ493E	1	hc_pearson_3
BS_D0BGESQF	1	hc_pearson_3
BS_D0RDN4K5	1	hc_pearson_3
BS_D144EJRQ	1	hc_pearson_3
BS_D3YBV7KB	1	hc_pearson_3
BS_D432YMV4	1	hc_pearson_3
BS_D46WVFCP	1	hc_pearson_3
BS_D48301X5	1	hc_pearson_3
BS_D5G5D9ZM	1	hc_pearson_3
BS_D5MT05YK	1	hc_pearson_3
BS_D5NQV7N5	1	hc_pearson_3
BS_D5P6EZ1M	1	hc_pearson_3
BS_D6J2BGDJ	1	hc_pearson_3
BS_D7XRFE0R	1	hc_pearson_3
BS_DB75RPCD	1	hc_pearson_3
BS_DBEX7AG2	1	hc_pearson_3
BS_DDR2A5JK	1	hc_pearson_3
BS_DEHJF4C7	1	hc_pearson_3
BS_DFWFBYSN	1	hc_pearson_3
BS_DGWXNSPK	1	hc_pearson_3
BS_DHA5FMVW	1	hc_pearson_3
BS_DK87G2MP	1	hc_pearson_3
BS_DMJHAG9X	1	hc_pearson_3
BS_DMZP9G1H	1	hc_pearson_3
BS_DNZVP92S	1	hc_pearson_3
BS_DPF1CX0G	1	hc_pearson_3
BS_DPMRSF90	1	hc_pearson_3
BS_DRD9QXR5	1	hc_pearson_3
BS_DS1HY9A0	1	hc_pearson_3
BS_DS438CXE	1	hc_pearson_3
BS_DSPVSM7D	1	hc_pearson_3
BS_DSS3S5XD	1	hc_pearson_3
BS_DV86M0Y7	1	hc_pearson_3
BS_DVCQ8XDZ	1	hc_pearson_3
BS_DY88N5ZT	1	hc_pearson_3
BS_DY9NTFQR	1	hc_pearson_3
BS_DZ4B5A40	1	hc_pearson_3
BS_DZBVFTQF	1	hc_pearson_3
BS_DZNXFPH1	1	hc_pearson_3
BS_E054DFJN	1	hc_pearson_3
BS_E0ZEECZ6	1	hc_pearson_3
BS_E1B3BKYA	1	hc_pearson_3
