gene	CTRL1	CTRL2	CTRL3	Treated1	Treated2	Treated3
ENSG00000008735.14_MAPK8IP2	1764.00	2052.00	2285.00	1501.00	1691.00	1825.00
ENSG00000008838.21_MED24	10628.00	12168.00	13582.00	7875.00	9109.00	10523.00
ENSG00000008853.18_RHOBTB2	2475.00	2897.00	3167.00	1917.00	2229.00	2135.00
ENSG00000008869.12_HEATR5B	6604.00	7141.00	7445.00	6285.00	7063.00	7486.00
ENSG00000008952.17_SEC62	11234.00	13173.00	14517.00	13132.00	14732.00	15866.00
ENSG00000008988.11_RPS20	7259.06	8258.83	9077.89	9897.00	10988.00	11163.00
ENSG00000009307.17_CSDE1	39870.00	46000.00	49750.00	36986.00	39026.00	44402.00
ENSG00000009335.18_UBE3C	7606.00	8651.00	9264.00	7313.00	7658.00	7908.00
ENSG00000009413.16_REV3L	30219.86	28927.87	30797.61	23908.62	24632.58	23989.92
ENSG00000009694.13_TENM1	7387.00	6417.00	7073.00	4606.00	5038.00	4926.00
ENSG00000009709.12_PAX7	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000009724.17_MASP2	47.00	51.00	77.00	31.00	35.00	38.00
ENSG00000009765.15_IYD	1.00	5.00	10.00	1.00	3.00	0.00
ENSG00000009780.16_FAM76A	653.00	789.00	852.00	973.00	858.00	1075.00
ENSG00000009790.15_TRAF3IP3	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000009830.13_POMT2	3664.00	4017.00	4606.00	2940.00	3178.00	3401.00
ENSG00000009844.16_VTA1	11165.00	13877.00	14581.00	9727.00	10481.00	11376.00
ENSG00000009950.16_MLXIPL	110.00	132.00	181.00	39.00	69.00	58.00
ENSG00000009954.11_BAZ1B	49773.00	54341.00	59349.00	57072.00	60708.00	60452.00
ENSG00000010017.13_RANBP9	10957.00	12827.00	13982.00	7768.00	8905.00	9411.00
ENSG00000010030.14_ETV7	8.00	0.00	8.00	4.00	2.00	0.00
ENSG00000010072.16_SPRTN	2627.00	2829.00	3203.00	2280.00	2490.00	2583.00
ENSG00000010165.20_METTL13	3242.00	3591.00	3631.00	2472.00	2764.00	3090.00
ENSG00000010219.14_DYRK4	660.00	650.00	747.00	534.00	525.00	641.00
ENSG00000010244.19_ZNF207	35537.46	40354.00	42643.65	28167.00	30147.00	29542.47
ENSG00000010256.11_UQCRC1	4447.00	4946.00	5895.00	4168.00	4633.00	5041.00
ENSG00000010270.14_STARD3NL	7248.00	8424.00	9370.00	6820.00	7337.00	7610.00
ENSG00000010278.15_CD9	14524.00	16466.00	18469.00	12827.00	13505.00	16411.00
ENSG00000010282.15_HHATL	0.00	1.00	1.00	7.00	2.00	1.00
ENSG00000010292.13_NCAPD2	23181.00	25533.00	28238.00	18177.00	18688.00	19808.00
ENSG00000010295.20_IFFO1	810.00	922.00	1028.00	862.00	890.00	868.00
ENSG00000010310.9_GIPR	87.00	67.00	94.00	66.00	59.00	74.00
ENSG00000010318.22_PHF7	372.00	415.00	433.00	342.00	362.00	365.00
ENSG00000010319.7_SEMA3G	100.00	131.00	82.00	57.00	48.00	51.00
ENSG00000010322.16_NISCH	7546.00	8759.00	9217.00	5554.00	6425.00	6397.00
ENSG00000010327.10_STAB1	0.00	1.00	8.00	5.00	5.00	2.00
