Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
TYW5,367.1879463622598,0.3892360856833777,0.47162203532006575,0.8253136124549886,0.4091935655551832,0.6926000728872975,FALSE
PKN2,1507.4175072646071,0.38920652698405006,0.40057510320368334,0.9716193639377217,0.33123994555494257,0.6296738406557089,FALSE
RICTOR,1978.682775806411,0.3889179458056366,0.45367561259792455,0.8572599782883189,0.3913012215389673,0.6770269662542339,FALSE
METTL23,489.91354651268034,0.3887880801428909,0.32263051592972725,1.2050567474143505,0.22818139564482037,0.5330235208124238,FALSE
PRPF3,2635.8116416208973,0.3887586332111465,0.6110760331974138,0.6361870079849039,0.5246545401367911,0.7740167790458427,FALSE
LINGO1,2325.9747222062356,0.38874842987376435,1.1417120812456623,0.3404960289547092,0.7334830127711967,0.8848506192830929,FALSE
RPP21,422.66919443721804,0.38857207305694547,0.33492052876484407,1.1601918654851147,0.24597069814915648,0.5517561344615796,FALSE
CARHSP1,1779.5009887020851,0.388552784290172,0.4019350400982854,0.9667054263175436,0.3336913136918067,0.6319238118161807,FALSE
ALG10,205.758259632647,0.3883246289873864,0.47613867147730904,0.815570446698935,0.4147458579335124,0.6969748897392629,FALSE
PRRC2C,15266.244536523005,0.38768534431150486,0.297858637537423,1.3015749602453481,0.19306172418121686,0.49010048950716756,FALSE
ACBD7,256.4475493503824,0.3875060779218688,0.8343341275014036,0.4644495114713103,0.6423257243281171,0.8368224402165672,FALSE
ECD,846.4390965639935,0.3871878469023248,0.31912845343320295,1.2132664534827113,0.22502796429253785,0.5293955891945108,FALSE
DIABLO,1113.406266803723,0.3871508981404029,0.3242958017657394,1.1938202592584528,0.232548285042472,0.5370386278781186,FALSE
MOB3A,2957.380289184298,0.3871177516238257,0.44576434694924544,0.8684358771023534,0.3851557614481866,0.671987028590391,FALSE
PGM3,2069.9047697710453,0.3866379961006322,0.6545953521315101,0.5906519116606186,0.5547536747925226,0.790236001322645,FALSE
ATP1B3,2065.487763230479,0.38658909831932203,0.5341897597579663,0.7236924543339804,0.4692545666603864,0.7348300516135031,FALSE
COPS4,755.6030081351632,0.3865603365807109,0.49325841002946436,0.7836872696354433,0.43322363414885406,0.710381220280567,FALSE
SLC25A40,275.0871288852463,0.3864951248009719,0.5037324491480029,0.7672627114943211,0.4429253338632246,0.7165648216987721,FALSE
ARHGAP42,497.90672447604214,0.3863156980102918,0.4837016912599127,0.7986651793671496,0.42448458253298904,0.7040100124516888,FALSE
TAF4,1597.9251356318673,0.38624200995413305,0.5847908665456392,0.6604788686862799,0.5089465746550346,0.7627196373900432,FALSE
INTS1,7582.645579131549,0.38615114626818914,0.43296852036473393,0.8918688729215101,0.37246322046220554,0.6639790948577455,FALSE
SH3KBP1,2373.1351779906395,0.38603503839668574,0.3711651391158332,1.040062758362153,0.29831074445438477,0.6035736311793938,FALSE
SORBS3,5708.226186320806,0.38586063268558823,0.5120858092576147,0.7535077631715305,0.4511448480411997,0.7224278484415896,FALSE
RANBP17,243.5182504335006,0.3858571883558955,0.49478391884049283,0.7798498974262079,0.43547923222835844,0.7119703065361084,FALSE
